COUNTRY, PERCAPITAGDP2014 
,
Afghanistan, $633.60 
Albania," $4,564.40 "
Algeria," $5,484.10 "
American Samoa,
Andorra,
Angola,
Antigua and Barbuda," $13,432.10 "
Argentina," $12,509.50 "
Armenia," $3,873.50 "
Aruba,
Australia," $61,979.90 "
Austria," $51,122.40 "
Azerbaijan," $7,886.50 "
"Bahamas, The"," $22,217.50 "
Bahrain," $24,855.20 "
Bangladesh," $1,086.80 "
Barbados," $15,366.30 "
Belarus," $8,040.00 "
Belgium," $47,327.60 "
Belize," $4,831.20 "
Benin, $903.50 
Bermuda,
Bhutan," $2,560.50 "
Bolivia," $3,124.10 "
Bosnia and Herzegovina," $4,851.70 "
Botswana," $7,123.30 "
Brazil," $11,726.80 "
Brunei Darussalam," $40,979.60 "
Bulgaria," $7,851.30 "
Burkina Faso, $713.10 
Burundi, $286.00 
Cabo Verde," $3,641.10 "
Cambodia," $1,094.60 "
Cameroon," $1,407.40 "
Canada," $50,230.80 "
Cayman Islands,
Central African Republic, $358.50 
Chad," $1,024.70 "
Chile," $14,528.30 "
China," $7,590.00 "
Colombia," $7,903.90 "
Comoros, $810.10 
"Congo, Dem. Rep.", $442.30 
"Congo, Rep."," $3,147.10 "
Costa Rica," $10,415.40 "
Cote d'Ivoire," $1,545.90 "
Croatia," $13,475.30 "
Cuba,
Curacao,
Cyprus," $27,194.40 "
Czech Republic," $19,502.40 "
Denmark," $60,718.40 "
Djibouti," $1,813.60 "
Dominica," $7,244.50 "
Dominican Republic," $6,163.60 "
Ecuador," $6,345.80 "
"Egypt, Arab Rep."," $3,365.70 "
El Salvador," $4,120.00 "
Equatorial Guinea," $18,918.30 "
Eritrea,
Estonia," $20,147.80 "
Ethiopia, $573.60 
Faroe Islands,
Fiji," $5,112.30 "
Finland," $49,842.70 "
France," $42,725.70 "
French Polynesia,
Gabon," $10,772.10 "
"Gambia, The", $441.30 
Georgia," $4,435.20 "
Germany," $47,773.90 "
Ghana," $1,441.60 "
Greece," $21,672.70 "
Greenland," $43,364.90 "
Grenada," $8,573.70 "
Guam,
Guatemala," $3,673.10 "
Guinea, $539.60 
Guinea-Bissau, $567.80 
Guyana," $4,053.90 "
Haiti, $824.20 
Honduras," $2,434.80 "
"Hong Kong SAR, China"," $40,169.50 "
Hungary," $14,026.60 "
Iceland," $52,036.70 "
India," $1,581.50 "
Indonesia," $3,491.90 "
"Iran, Islamic Rep."," $5,442.90 "
Iraq," $6,420.10 "
Ireland," $54,339.30 "
Isle of Man,
Israel," $37,206.20 "
Italy," $35,222.80 "
Jamaica," $5,106.10 "
Japan," $36,194.40 "
Jordan," $5,422.60 "
Kazakhstan," $12,601.60 "
Kenya," $1,358.30 "
Kiribati," $1,509.50 "
"Korea, Dem. People’s Rep.",
"Korea, Rep."," $27,970.50 "
Kuwait," $43,593.70 "
Kyrgyz Republic," $1,268.90 "
Lao PDR," $1,793.50 "
Latvia," $15,692.20 "
Lebanon," $10,057.90 "
Lesotho," $1,034.20 "
Liberia, $457.90 
Libya," $6,573.40 "
Liechtenstein,
Lithuania," $16,489.70 "
Luxembourg," $116,612.90 "
"Macao SAR, China"," $96,038.10 "
"Macedonia, FYR"," $5,455.60 "
Madagascar, $449.40 
Malawi, $255.00 
Malaysia," $11,307.10 "
Maldives," $7,635.50 "
Mali, $704.50 
Malta,
Marshall Islands," $3,529.70 "
Mauritania," $1,275.00 "
Mauritius," $10,016.60 "
Mexico," $10,325.60 "
"Micronesia, Fed. Sts."," $3,057.10 "
Moldova," $2,238.90 "
Monaco,
Mongolia," $4,129.40 "
Montenegro," $7,378.30 "
Morocco," $3,190.30 "
Mozambique, $585.60 
Myanmar," $1,203.80 "
Namibia," $5,408.20 "
Nepal, $701.70 
Netherlands," $52,138.70 "
New Caledonia,
New Zealand," $44,342.20 "
Nicaragua," $1,963.10 "
